ID,MEGNO_final,Delta_e_max,Delta_a_max,is_particle
1,2.1754393,3.5625978,0.0017727407,False
2,2.1754393,3.5625978,0.49007708,False
3,4.9243915,3.5625978,0.81198602,True
4,3.5370677,3.5625978,0.99362609,True
5,4.3757951,3.5625978,0.99216799,True
6,4.6392359,3.5625978,0.96897259,True
7,2.8979313,3.5625978,0.94693555,True
8,2.5385737,3.5625978,0.92319032,True
9,2.3399276,3.5625978,0.95415585,True
10,2.1563755,3.5625978,0.90579539,True
11,2.0266574,3.5625978,0.9061445,True
12,2.3598257,3.5625978,0.96866199,True
13,3.2697713,3.5625978,0.96360128,True
14,2.7870382,3.5625978,0.95070778,True
15,3.0783185,3.5625978,0.86432601,True
16,3.3694233,3.5625978,0.86220392,True
17,3.3418264,3.5625978,0.96903867,True
18,1.9492657,3.5625978,0.99536081,True
19,2.6116693,3.5625978,0.9697909,True
20,3.5547168,3.5625978,0.91937381,True
21,3.3552998,3.5625978,0.92684621,True
22,7.3916279,3.5625978,0.95635458,True
23,5.496802,3.5625978,0.99631652,True
24,7.422331,3.5625978,0.9962387,True
25,5.8977751,3.5625978,0.99307533,True
26,4.6306995,3.5625978,0.98570695,True
27,2.8889409,3.5625978,0.87031596,True
28,2.7578708,3.5625978,0.97137519,True
29,4.6590537,3.5625978,0.9948881,True
30,7.6053102,3.5625978,0.98794504,True
31,4.7329296,3.5625978,0.98929723,True
32,3.1434088,3.5625978,0.97812365,True
33,2.9601387,3.5625978,0.94487658,True
34,2.8477927,3.5625978,0.90234934,True
35,2.7931181,3.5625978,0.93533802,True
36,2.7473212,3.5625978,0.97428364,True
37,2.6480657,3.5625978,0.89775953,True
38,2.5488973,3.5625978,0.98390596,True
39,2.4647528,3.5625978,0.94896833,True
40,2.3931444,3.5625978,0.94112694,True
41,2.3276808,3.5625978,0.97530241,True
42,1.8307944,3.5625978,0.97116518,True
43,3.9012637,3.5625978,0.99320016,True
44,1.8868687,3.5625978,0.93376053,True
45,1.8522699,3.5625978,0.9568263,True
46,1.7070232,3.5625978,0.98243931,True
47,1.5798282,3.5625978,0.97869188,True
48,1.475975,3.5625978,0.99068832,True
49,1.5641374,3.5625978,0.94008711,True
50,1.6489904,3.5625978,0.93765847,True
51,1.6584926,3.5625978,0.98279695,True
52,1.7690023,3.5625978,0.9554066,True
53,1.8549426,3.5625978,0.98140162,True
54,1.9643527,3.5625978,0.94489374,True
55,2.0149619,3.5625978,0.96296258,True
56,2.0558562,3.5625978,0.97941065,True
57,2.0889921,3.5625978,0.9942136,True
58,2.1413067,3.5625978,0.95061143,True
59,2.1597857,3.5625978,0.9612754,True
60,2.1743692,3.5625978,0.97085238,True
61,2.1855755,3.5625978,0.9793798,True
62,2.193767,3.5625978,0.98684776,True
63,2.1993937,3.5625978,0.99340309,True
64,2.2217746,3.5625978,0.94636336,True
65,2.2216145,3.5625978,0.95112804,True
66,2.2198071,3.5625978,0.95526918,True
67,2.2165145,3.5625978,0.9587763,True
68,2.2118866,3.5625978,0.96167718,True
69,2.2061048,3.5625978,0.96398693,True
70,2.1992106,3.5625978,0.96576909,True
71,2.1913556,3.5625978,0.96703736,True
72,2.1827093,3.5625978,0.9678206,True
73,2.1732464,3.5625978,0.96816293,True
74,2.1631161,3.5625978,0.96809034,True
75,2.152403,3.5625978,0.96763564,True
76,2.1412661,3.5625978,0.96683774,True
77,2.1296205,3.5625978,0.96571617,True
78,2.1176114,3.5625978,0.96430503,True
79,2.1053026,3.5625978,0.96263236,True
80,2.092842,3.5625978,0.9607386,True
81,2.0570856,3.5625978,0.99517724,True
82,2.042606,3.5625978,0.99144107,True
83,2.0280267,3.5625978,0.98756186,True
84,2.0131911,3.5625978,0.98350858,True
85,1.9982493,3.5625978,0.97932993,True
86,1.9832462,3.5625978,0.97504527,True
87,1.9683299,3.5625978,0.97070283,True
88,1.9306176,3.5625978,0.98989962,True
89,1.9136342,3.5625978,0.98388038,True
90,1.8967646,3.5625978,0.97790982,True
91,1.8798079,3.5625978,0.97191644,True
92,1.843569,3.5625978,0.99105032,True
93,1.8247513,3.5625978,0.98418774,True
94,1.806123,3.5625978,0.97751206,True
95,1.7874627,3.5625978,0.97093627,True
96,1.7689488,3.5625978,0.96451411,True
97,1.7316671,3.5625978,0.99319613,True
98,1.7116616,3.5625978,0.98705063,True
99,2.4031987,3.5625978,0.64265008,True
100,2.0181799,3.5625978,0.72958161,True
101,1.7864068,3.5625978,0.78169441,True
102,3.6949183,3.5625978,0.76210347,True
