rank,frequency_cpyear,amplitude,period_years
1,0.00621118,0.000390661,161
2,0.0248447,0.000144709,40.25
3,0.0186335,0.000140781,53.6667
4,0.124224,0.000120278,8.05
5,0.0621118,0.000113141,16.1
6,0.118012,0.000107761,8.47368
7,0.0124224,0.000105468,80.5
8,0.111801,0.000103109,8.94444
9,0.0372671,9.72424e-05,26.8333
10,0.440994,9.65963e-05,2.26761
11,0.47205,8.74467e-05,2.11842
12,0.0310559,8.2704e-05,32.2
13,0.0993789,7.8718e-05,10.0625
14,0.223602,7.25797e-05,4.47222
15,0.434783,7.15633e-05,2.3
